filename,deployment_id
20240411_071100.WAV,A001_SD001
20240410_070500.WAV,A001_SD001
20240412_070600.WAV,A001_SD001
20240402_061400.WAV,A001_SD001
20240408_061100.WAV,A001_SD001
20240403_054600.WAV,A001_SD001
20240409_064200.WAV,A001_SD001
20240408_063700.WAV,A001_SD001
20240415_070701.WAV,A001_SD001
20240405_065000.WAV,A001_SD001
20240406_062600.WAV,A001_SD001
20240404_060300.WAV,A001_SD001
20240404_070000.WAV,A001_SD001
20240410_061900.WAV,A001_SD001
20240402_063100.WAV,A001_SD001
20240404_060600.WAV,A001_SD001
20240410_064500.WAV,A001_SD001
20240406_055800.WAV,A001_SD001
20240414_064800.WAV,A001_SD001
20240403_065900.WAV,A001_SD001
20240409_062600.WAV,A001_SD001
20240416_063100.WAV,A001_SD001
20240411_055600.WAV,A001_SD001
20240411_070300.WAV,A001_SD001
20240402_065800.WAV,A001_SD001
20240401_063700.WAV,A001_SD001
20240404_055300.WAV,A001_SD001
20240416_062200.WAV,A001_SD001
20240407_062000.WAV,A001_SD001
20240412_061600.WAV,A001_SD001
20240412_061400.WAV,A001_SD001
20240404_061100.WAV,A001_SD001
20240416_070700.WAV,A001_SD001
20240402_064000.WAV,A001_SD001
20240402_055800.WAV,A001_SD001
20240414_064700.WAV,A001_SD001
20240412_055500.WAV,A001_SD001
20240412_061100.WAV,A001_SD001
20240414_070200.WAV,A001_SD001
20240415_065701.WAV,A001_SD001
20240410_063200.WAV,A001_SD001
20240404_065500.WAV,A001_SD001
20240412_071100.WAV,A001_SD001
20240414_060400.WAV,A001_SD001
20240409_063400.WAV,A001_SD001
20240412_071300.WAV,A001_SD001
20240401_063200.WAV,A001_SD001
20240402_070500.WAV,A001_SD001
20240401_061600.WAV,A001_SD001
20240403_055100.WAV,A001_SD001
20240404_062100.WAV,A002_SD013
20240405_061100.WAV,A002_SD013
20240402_071200.WAV,A002_SD013
20240403_062600.WAV,A002_SD013
20240408_063300.WAV,A002_SD013
20240402_065700.WAV,A002_SD013
20240405_071300.WAV,A002_SD013
20240414_062800.WAV,A002_SD013
20240414_055100.WAV,A002_SD013
20240402_055300.WAV,A002_SD013
20240331_055800.WAV,A002_SD013
20240409_060400.WAV,A002_SD013
20240407_071100.WAV,A002_SD013
20240406_062500.WAV,A002_SD013
20240415_061900.WAV,A002_SD013
20240409_064500.WAV,A002_SD013
20240408_064800.WAV,A002_SD013
20240407_070800.WAV,A002_SD013
20240413_063700.WAV,A002_SD013
20240403_062100.WAV,A002_SD013
20240401_062200.WAV,A002_SD013
20240413_060800.WAV,A002_SD013
20240416_064900.WAV,A002_SD013
20240413_055900.WAV,A002_SD013
20240413_060400.WAV,A002_SD013
20240331_071200.WAV,A002_SD013
20240401_055700.WAV,A002_SD013
20240405_070700.WAV,A002_SD013
20240404_055300.WAV,A002_SD013
20240403_063400.WAV,A002_SD013
20240409_063100.WAV,A002_SD013
20240416_060200.WAV,A002_SD013
