filename,deployment_id,species
20240410_062700.WAV,A001_SD001,Black-capped Chickadee
20240414_190500.WAV,A001_SD001,American Robin
20240414_194000.WAV,A001_SD001,American Robin
20240402_071200.WAV,A001_SD001,Song Sparrow
20240415_062301.WAV,A001_SD001,American Robin
20240403_062600.WAV,A001_SD001,Song Sparrow
20240404_160500.WAV,A001_SD001,Wood Duck
20240414_143200.WAV,A001_SD001,Black-capped Chickadee
20240401_062500.WAV,A001_SD001,American Robin
20240406_064300.WAV,A001_SD001,Song Sparrow
20240406_060600.WAV,A001_SD001,American Robin
20240413_071000.WAV,A001_SD001,Black-capped Chickadee
20240412_062400.WAV,A001_SD001,American Robin
20240412_070000.WAV,A001_SD001,Eastern Phoebe
20240405_140900.WAV,A001_SD001,Black-capped Chickadee
20240406_142300.WAV,A001_SD001,Wood Duck
20240407_061600.WAV,A001_SD001,Song Sparrow
20240414_155300.WAV,A001_SD001,American Robin
20240414_151600.WAV,A001_SD001,Wood Duck
20240401_070100.WAV,A001_SD001,Black-capped Chickadee
20240405_061500.WAV,A001_SD001,Wood Duck
20240401_065900.WAV,A001_SD001,Black-capped Chickadee
20240415_070701.WAV,A001_SD001,American Robin
20240411_153600.WAV,A001_SD001,Blue Jay
20240405_161500.WAV,A001_SD001,Wood Duck
20240402_063600.WAV,A001_SD001,Song Sparrow
20240406_191400.WAV,A001_SD001,Black-capped Chickadee
20240411_063700.WAV,A001_SD001,American Robin
20240416_065100.WAV,A001_SD001,Red-winged Blackbird
20240416_061400.WAV,A001_SD001,American Robin
20240412_065800.WAV,A001_SD001,Eastern Phoebe
20240413_071400.WAV,A001_SD001,Black-capped Chickadee
20240416_062900.WAV,A001_SD001,American Robin
20240415_192800.WAV,A001_SD001,Wood Duck
20240414_143600.WAV,A001_SD001,Black-capped Chickadee
20240401_062100.WAV,A001_SD001,American Robin
20240405_062800.WAV,A001_SD001,Song Sparrow
20240406_064700.WAV,A001_SD001,Song Sparrow
20240406_060200.WAV,A001_SD001,American Robin
20240405_190300.WAV,A001_SD001,American Robin
20240404_230200.WAV,A001_SD001,Blue Jay
